Rank	Name	RegType	Chrom	Start	End	Strand	ScorePerCodon	NumCodons	Bls	AntiScorePerCodon	ScoreDiff	Parent	SvmScore	SvmAntisenseScore
12	chr17:41995092-41995202-	NoOverlap	chr17	41995092	41995202	-	16.5032810811	37	0.947	5.10496756757	11.3983135135	NA	0.952130987199	1.02255183381
13	chr17:7512158-7512349+	NoOverlap	chr17	7512158	7512349	+	30.396328125	64	0.9849	17.906828125	12.4895	NA	0.949975330448	0.970024993769
14	chr17:7508944-7509189+	NoOverlap	chr17	7508944	7509189	+	25.8088219512	82	0.9642	14.2649207317	11.5439012195	NA	0.946801991852	0.964877043529
15	chr17:7503385-7503489+	NoOverlap	chr17	7503385	7503489	+	24.9791142857	35	0.9632	11.1375114286	13.8416028571	NA	0.934777293351	1.04062910536
16	chr17:7511811-7512014+	NoOverlap	chr17	7511811	7512014	+	30.1097705882	68	0.9875	15.6802088235	14.4295617647	NA	0.9339732163	0.977084770046
17	chr17:7511215-7511322+	NoOverlap	chr17	7511215	7511322	+	25.9304638889	36	0.993	11.9064472222	14.0240166667	NA	0.933709951804	1.04058947457
18	chr17:17166251-17166391+	NoOverlap	chr17	17166251	17166391	+	28.9093914894	47	0.9785	7.89251702128	21.0168744681	NA	0.930039600564	1.03872894148
19	chr17:6639897-6640001-	NoOverlap	chr17	6639897	6640001	-	17.7396342857	35	0.947	8.21124285714	9.52839142857	NA	0.925191473906	0.940249441228
20	chr17:17165510-17166148+	NoOverlap	chr17	17165510	17166148	+	24.3039647887	213	0.9732	4.91517605634	19.3887887324	NA	0.924111027552	0.92201092094
21	chr17:7500639-7500854+	NoOverlap	chr17	7500639	7500854	+	28.3584194444	72	0.9998	12.8585722222	15.4998472222	NA	0.923591239189	0.98472581854
22	chr17:29080154-29080738-	NoOverlap	chr17	29080154	29080738	-	25.2570061538	195	0.9561	13.3557953846	11.9012107692	NA	0.922080934879	0.925245470947
23	chr17:7501291-7501386+	NoOverlap	chr17	7501291	7501386	+	19.91520625	32	1.0	9.511065625	10.404140625	NA	0.921592849446	0.950732460157
24	chr17:7512476-7512589+	NoOverlap	chr17	7512476	7512589	+	24.5258394737	38	0.9849	19.7481289474	4.77771052632	NA	0.918493262556	0.722043229808
25	chr17:17164415-17165251+	NoOverlap	chr17	17164415	17165251	+	20.2992942652	279	0.9736	0.874644802867	19.4246494624	NA	0.916813020047	0.889787846729
26	chr17:7501900-7502121+	NoOverlap	chr17	7501900	7502121	+	28.1697189189	74	1.0	18.9837121622	9.18600675676	NA	0.915734609361	0.925690483654
27	chr17:17167418-17167678+	NoOverlap	chr17	17167418	17167678	+	17.7495574713	87	0.9456	-3.71277701149	21.4623344828	NA	0.9148276565	0.962714440543
28	chr17:7502517-7502702+	NoOverlap	chr17	7502517	7502702	+	31.37255	62	1.0	14.7909032258	16.5816467742	NA	0.907790697001	0.979813292985
29	chr17:6639633-6639878-	NoOverlap	chr17	6639633	6639878	-	29.1349109756	82	0.9628	13.1732585366	15.961652439	NA	0.889660138759	0.944430466843
30	chr17:55962059-55962163+	NoOverlap	chr17	55962059	55962163	+	12.0366571429	35	0.9984	-1.15593714286	13.1925942857	NA	0.877457342866	1.0886782079
31	chr17:29079734-29079817-	NoOverlap	chr17	29079734	29079817	-	20.6625857143	28	0.999	4.2391	16.4234857143	NA	0.861892342219	1.08126322746
32	chr17:75624367-75624456+	NoOverlap	chr17	75624367	75624456	+	15.9613933333	30	0.9695	-1.59439	17.5557833333	NA	0.856382626827	1.10977833501
33	chr17:17166419-17166505+	NoOverlap	chr17	17166419	17166505	+	20.3550310345	29	0.9774	10.3312793103	10.0237517241	NA	0.855971692492	0.913425186269
34	chr17:17164100-17164411+	NoOverlap	chr17	17164100	17164411	+	17.085775	104	0.9763	4.26479807692	12.8209769231	NA	0.851219863556	1.02522614641
35	chr17:7512773-7512922+	NoOverlap	chr17	7512773	7512922	+	33.282702	50	0.9834	27.446608	5.836094	NA	0.842956666648	0.743077208418
36	chr17:20515403-20515486-	Extension	chr17	20515403	20515486	-	19.3784464286	28	0.9266	5.996425	13.3820214286	chr17:20515331-20515486-	0.80626905412	1.02673665937
37	chr17:29079830-29080147-	NoOverlap	chr17	29079830	29080147	-	25.1769179245	106	0.9657	16.3941839623	8.78273396226	NA	0.802734400606	0.895725430428
38	chr17:7503122-7503295+	NoOverlap	chr17	7503122	7503295	+	34.9414844828	58	1.0	12.3965465517	22.544937931	NA	0.792994329284	0.909560682046
39	chr17:17166905-17167183+	NoOverlap	chr17	17166905	17167183	+	26.1477709677	93	0.9782	4.88344623656	21.2643247312	NA	0.791938719612	0.89320210432
40	chr17:2853957-2854097+	NoOverlap	chr17	2853957	2854097	+	11.3097425532	47	0.8806	8.5653106383	2.74443191489	NA	0.765419647108	0.632561316026
41	chr17:59353311-59353409+	Extension	chr17	59353311	59353409	+	11.2821212121	33	1.0	4.46121212121	6.82090909091	chr17:59353311-59353526+	0.762848934467	0.816728256936
42	chr17:8078581-8078658-	NoOverlap	chr17	8078581	8078658	-	21.5820807692	26	0.9161	7.41071923077	14.1713615385	NA	0.757589110937	1.02582018022
43	chr17:7509531-7509632+	NoOverlap	chr17	7509531	7509632	+	33.2477764706	34	0.9869	20.6890647059	12.5587117647	NA	0.754032858478	0.876179473946
44	chr17:2853995-2854120-	NoOverlap	chr17	2853995	2854120	-	12.2618880952	42	0.9498	12.5722380952	-0.31035	NA	0.751200711934	0.40640680745
45	chr17:7513020-7513775+	NoOverlap	chr17	7513020	7513775	+	40.1829559524	252	0.976	29.2904392857	10.8925166667	NA	0.71503377914	0.70340339351
46	chr17:5500603-5500707-	NoOverlap	chr17	5500603	5500707	-	12.7421114286	35	0.8571	3.00080571429	9.74130571429	NA	0.713407646057	0.96938569609
47	chr17:7513775-7514176+	NoOverlap	chr17	7513775	7514176	+	30.2013223881	134	0.9622	23.5859597015	6.61536268657	NA	0.711077472704	0.787348556355
48	chr17:47080803-47080931-	NoOverlap	chr17	47080803	47080931	-	11.1001465116	43	0.8333	4.57478139535	6.52536511628	NA	0.707757258749	0.851869284919
49	chr17:3685512-3685580-	NoOverlap	chr17	3685512	3685580	-	16.4601217391	23	1.0	8.85004347826	7.61007826087	NA	0.697388285324	0.762268485658
50	chr17:32222775-32222885+	NoOverlap	chr17	32222775	32222885	+	7.32903783784	37	1.0	-0.313027027027	7.64206486486	NA	0.685453569708	0.900640781453
51	chr17:7513780-7514175-	NoOverlap	chr17	7513780	7514175	-	24.1084295455	132	0.9669	30.6085439394	-6.50011439394	NA	0.673610505129	0.52469217174
52	chr17:4890216-4890326+	NoOverlap	chr17	4890216	4890326	+	8.78689459459	37	0.9626	4.15092162162	4.63597297297	NA	0.661234209318	0.717830328219
53	chr17:7513022-7513777-	NoOverlap	chr17	7513022	7513777	-	29.2904392857	252	0.9747	40.1829559524	-10.8925166667	NA	0.656360347197	0.655951960234
54	chr17:46285896-46286090-	NoOverlap	chr17	46285896	46286090	-	11.5024446154	65	0.7158	7.68296615385	3.81947846154	NA	0.632116598805	0.749555022888
55	chr17:35522458-35522553-	NoOverlap	chr17	35522458	35522553	-	9.99820625	32	0.8772	-5.844259375	15.842465625	NA	0.626734890787	1.13247087324
56	chr17:38563595-38563678-	NoOverlap	chr17	38563595	38563678	-	11.7324107143	28	0.9138	1.72473571429	10.007675	NA	0.622403618856	0.945846512905
57	chr17:16737556-16737657+	NoOverlap	chr17	16737556	16737657	+	11.3634352941	34	0.8366	1.96975	9.39368529412	NA	0.618471327602	0.955495294223
58	chr17:76274085-76274135-	NoOverlap	chr17	76274085	76274135	-	25.4398411765	17	0.9863	7.63623529412	17.8036058824	NA	0.567334286184	1.03530101991
59	chr17:10449344-10449403-	NoOverlap	chr17	10449344	10449403	-	21.6158	20	0.8727	5.371715	16.244085	NA	0.557608176552	1.03871793274
60	chr17:46818532-46818738+	NoOverlap	chr17	46818532	46818738	+	1.47328405797	69	0.9809	-0.692127536232	2.1654115942	NA	0.552275556636	0.738622876174
61	chr17:78816090-78816158-	NoOverlap	chr17	78816090	78816158	-	28.1432565217	23	0.8409	8.56906521739	19.5741913043	NA	0.54847978214	1.07362925379
62	chr17:78816026-78816088-	NoOverlap	chr17	78816026	78816088	-	27.4906666667	21	0.9277	3.14286190476	24.3478047619	NA	0.544957948567	1.10356933792
63	chr17:2179676-2179972+	NoOverlap	chr17	2179676	2179972	+	-0.953195959596	99	0.9999	-1.01846565657	0.0652696969697	NA	0.54438920219	0.718176419719
64	chr17:39607839-39608066-	NoOverlap	chr17	39607839	39608066	-	1.35185263158	76	0.9617	0.863267105263	0.488585526316	NA	0.53013900579	0.672156000679
65	chr17:1436560-1436820+	NoOverlap	chr17	1436560	1436820	+	-0.498470114943	87	0.9686	-2.86606091954	2.3675908046	NA	0.526530212692	0.792106168765
66	chr17:61145099-61145317-	NoOverlap	chr17	61145099	61145317	-	0.224838356164	73	1.0	-1.29949589041	1.52433424658	NA	0.524677353444	0.723622855941
67	chr17:39607816-39608064-	NoOverlap	chr17	39607816	39608064	-	0.518209638554	83	0.9619	1.37517831325	-0.856968674699	NA	0.503772778681	0.63504825213
68	chr17:39607840-39608052+	NoOverlap	chr17	39607840	39608052	+	1.20316619718	71	0.9627	1.2822056338	-0.0790394366197	NA	0.500840755517	0.625779039504
69	chr17:48593629-48593838+	NoOverlap	chr17	48593629	48593838	+	0.0454657142857	70	0.9948	-0.885414285714	0.93088	NA	0.495350677816	0.68489010463
70	chr17:42017546-42017644-	NoOverlap	chr17	42017546	42017644	-	4.1778030303	33	0.9858	-4.89594545455	9.07374848485	NA	0.491540820145	0.951456066454
71	chr17:10355493-10355549-	NoOverlap	chr17	10355493	10355549	-	20.9860157895	19	0.8394	11.5937789474	9.39223684211	NA	0.490695931782	0.788284536526
72	chr17:39607820-39608062-	NoOverlap	chr17	39607820	39608062	-	-0.203114814815	81	0.9619	-0.274550617284	0.0714358024691	NA	0.4848550446	0.678242986735
73	chr17:45584725-45584889+	NoOverlap	chr17	45584725	45584889	+	0.913194545455	55	0.1237	0.0658945454545	0.8473	NA	0.472638190551	0.614032168543
74	chr17:36545632-36545739-	NoOverlap	chr17	36545632	36545739	-	9.71810555556	36	0.818	8.83359444444	0.884511111111	NA	0.469319044126	0.460428496734
75	chr17:64919094-64919273+	NoOverlap	chr17	64919094	64919273	+	2.32258333333	60	0.1652	2.10427666667	0.218306666667	NA	0.461227452313	0.586948019847
76	chr17:2233762-2233881-	NoOverlap	chr17	2233762	2233881	-	3.2257975	40	0.9999	0.89868	2.3271175	NA	0.460214624417	0.61367713516
77	chr17:49988070-49988219-	NoOverlap	chr17	49988070	49988219	-	1.654732	50	0.9822	-0.481614	2.136346	NA	0.458173584177	0.661955571954
78	chr17:46285894-46286064+	NoOverlap	chr17	46285894	46286064	+	9.59763508772	57	0.7157	12.4813175439	-2.88368245614	NA	0.457621627237	0.303959431496
79	chr17:51186083-51186217-	NoOverlap	chr17	51186083	51186217	-	1.83490444444	45	0.9977	-1.28494444444	3.11984888889	NA	0.456843708365	0.695142241431
80	chr17:30631898-30632041+	Extension	chr17	30631898	30632041	+	1.5615875	48	0.1333	-0.567783333333	2.12937083333	chr17:30631772-30632041+	0.455073269461	0.652317049071
81	chr17:42676063-42676197+	NoOverlap	chr17	42676063	42676197	+	1.27526888889	45	0.981	-4.88946444444	6.16473333333	NA	0.453845517133	0.864769193749
82	chr17:5500793-5500903+	NoOverlap	chr17	5500793	5500903	+	8.24212972973	37	0.8485	7.76144864865	0.480681081081	NA	0.448862112873	0.445772940176
83	chr17:31937089-31937325-	NoOverlap	chr17	31937089	31937325	-	1.21416582278	79	0.8612	-0.0196721518987	1.23383797468	NA	0.448250468957	0.719999316007
84	chr17:39607869-39608045+	NoOverlap	chr17	39607869	39608045	+	0.779662711864	59	0.9627	-0.574425423729	1.35408813559	NA	0.447188634646	0.661654538184
85	chr17:27307793-27307951-	NoOverlap	chr17	27307793	27307951	-	1.54840188679	53	0.9864	1.69222075472	-0.143818867925	NA	0.445593023715	0.540753919487
86	chr17:40099423-40099473+	NoOverlap	chr17	40099423	40099473	+	10.8568529412	17	0.999	2.42324705882	8.43360588235	NA	0.445581252149	0.78420933035
87	chr17:27654790-27654837-	NoOverlap	chr17	27654790	27654837	-	15.55868125	16	0.914	1.84166875	13.7170125	NA	0.44219989431	0.974962901304
88	chr17:29294003-29294167+	NoOverlap	chr17	29294003	29294167	+	0.561547272727	55	0.9722	-2.08258727273	2.64413454545	NA	0.44122894747	0.718612738434
89	chr17:2076533-2076685+	NoOverlap	chr17	2076533	2076685	+	0.906892156863	51	0.9983	-0.456709803922	1.36360196078	NA	0.439359313181	0.625351145467
90	chr17:75784816-75784989-	NoOverlap	chr17	75784816	75784989	-	0.429212068966	58	0.9832	-0.289593103448	0.718805172414	NA	0.438985051047	0.623775568492
91	chr17:45584576-45584722-	NoOverlap	chr17	45584576	45584722	-	2.27996326531	49	0.1722	1.98855918367	0.291404081633	NA	0.4373464234	0.540582591933
92	chr17:80545576-80545629+	Extension	chr17	80545576	80545629	+	25.3474277778	18	0.7991	12.40215	12.9452777778	chr17:80545576-80545794+	0.436190803438	0.896535246406
93	chr17:64919021-64919278-	NoOverlap	chr17	64919021	64919278	-	1.49868604651	86	0.1734	1.20573372093	0.292952325581	NA	0.431831531111	0.690666392979
94	chr17:7484352-7484465+	NoOverlap	chr17	7484352	7484465	+	3.21141578947	38	0.9766	-0.746226315789	3.95764210526	NA	0.430980111027	0.703378642975
95	chr17:46266773-46266943-	NoOverlap	chr17	46266773	46266943	-	2.77005964912	57	0.1967	3.66810175439	-0.898042105263	NA	0.43051066017	0.501276063441
96	chr17:36545630-36545740+	NoOverlap	chr17	36545630	36545740	+	8.77794054054	37	0.8192	9.09917297297	-0.321232432432	NA	0.430118377051	0.390439677237
97	chr17:44212320-44212475+	NoOverlap	chr17	44212320	44212475	+	0.837582692308	52	0.9879	-0.381569230769	1.21915192308	NA	0.42951715037	0.622146505673
98	chr17:22529771-22529857+	NoOverlap	chr17	22529771	22529857	+	16.7475931034	29	0.772	-18.2414586207	34.9890517241	NA	0.429367306623	0.810682635556
99	chr17:46266756-46266995+	NoOverlap	chr17	46266756	46266995	+	3.32907	80	0.2029	1.16853125	2.16053875	NA	0.421940540388	0.755102496959
100	chr17:36698279-36698416+	NoOverlap	chr17	36698279	36698416	+	1.34189782609	46	0.9971	-0.378547826087	1.72044565217	NA	0.421909790403	0.618951620125
101	chr17:61252337-61252483+	NoOverlap	chr17	61252337	61252483	+	0.179510204082	49	1.0	-2.99994693878	3.17945714286	NA	0.42015198003	0.722448894731
102	chr17:36307365-36307418+	Extension	chr17	36307365	36307418	+	14.3666277778	18	0.9454	11.5559055556	2.81072222222	chr17:36307302-36307418+	0.420045477653	0.437180823719
103	chr17:38111469-38111522+	Extension	chr17	38111469	38111522	+	14.3666277778	18	0.9454	11.5559055556	2.81072222222	chr17:38111400-38111522+	0.420045477653	0.437180823719
104	chr17:45584601-45584723+	NoOverlap	chr17	45584601	45584723	+	2.66899268293	41	0.1638	2.46808536585	0.200907317073	NA	0.420016385005	0.490192335872
105	chr17:40642446-40642613+	NoOverlap	chr17	40642446	40642613	+	-0.0917196428571	56	0.9993	-0.536675	0.444955357143	NA	0.418420104946	0.603140546368
106	chr17:38545406-38545435-	NoOverlap	chr17	38545406	38545435	-	21.09424	10	0.9926	3.45519	17.63905	NA	0.417212733141	1.00414758409
107	chr17:57674866-57675036-	NoOverlap	chr17	57674866	57675036	-	-0.509024561404	57	0.9999	-1.58740701754	1.07838245614	NA	0.41688317077	0.64527314919
108	chr17:82519829-82519948-	NoOverlap	chr17	82519829	82519948	-	3.4484275	40	0.1665	3.0491825	0.399245	NA	0.41627995979	0.490636353558
109	chr17:82519827-82519946+	NoOverlap	chr17	82519827	82519946	+	3.0491825	40	0.1661	3.4484275	-0.399245	NA	0.415484501663	0.44451436441
110	chr17:18391312-18391419-	NoOverlap	chr17	18391312	18391419	-	2.17390555556	36	0.1342	1.14799722222	1.02590833333	NA	0.414439043955	0.516897466029
111	chr17:2076502-2076672+	NoOverlap	chr17	2076502	2076672	+	-0.265070175439	57	0.9989	-0.425052631579	0.15998245614	NA	0.412947428391	0.593255402544
112	chr17:82519828-82519947+	NoOverlap	chr17	82519828	82519947	+	1.7046625	40	0.1663	1.1905	0.5141625	NA	0.412442102355	0.51176642614
113	chr17:30600698-30600835-	NoOverlap	chr17	30600698	30600835	-	2.00543043478	46	0.1927	1.26397391304	0.741456521739	NA	0.411167965201	0.555238801981
114	chr17:2776990-2777025-	NoOverlap	chr17	2776990	2777025	-	18.9101083333	12	0.952	6.29473333333	12.615375	NA	0.409553067546	0.873186059363
115	chr17:30709159-30709299+	NoOverlap	chr17	30709159	30709299	+	1.40986808511	47	0.1965	1.5870212766	-0.177153191489	NA	0.407705365693	0.510060569729
116	chr17:56276348-56276449-	NoOverlap	chr17	56276348	56276449	-	2.34438823529	34	0.116	-3.45172352941	5.79611176471	NA	0.40624338163	0.787622279551
117	chr17:8344964-8345002+	NoOverlap	chr17	8344964	8345002	+	15.3566538462	13	0.9566	-16.8204	32.1770538462	NA	0.40570575335	0.930650115727
118	chr17:35522687-35522734-	NoOverlap	chr17	35522687	35522734	-	15.9975	16	0.8756	0.5535	15.444	NA	0.404535574994	1.02118953124
119	chr17:46819322-46819429+	NoOverlap	chr17	46819322	46819429	+	3.36324722222	36	0.9932	1.43895555556	1.92429166667	NA	0.404409233158	0.564872563705
120	chr17:7208066-7208224+	NoOverlap	chr17	7208066	7208224	+	1.04133584906	53	0.9176	-2.88114150943	3.92247735849	NA	0.403907666226	0.780146721571
121	chr17:30709155-30709283-	NoOverlap	chr17	30709155	30709283	-	1.83072093023	43	0.1909	1.15568604651	0.675034883721	NA	0.403375428554	0.536783106812
122	chr17:47872502-47872654-	NoOverlap	chr17	47872502	47872654	-	1.1421745098	51	0.9582	-0.120519607843	1.26269411765	NA	0.401513151706	0.617911149355
123	chr17:45620675-45620824+	NoOverlap	chr17	45620675	45620824	+	1.999686	50	0.213	0.97391	1.025776	NA	0.399756607336	0.592729674703
124	chr17:8226609-8226686-	NoOverlap	chr17	8226609	8226686	-	4.7881	26	1.0	-2.07137692308	6.85947692308	NA	0.397606644296	0.793502812181
125	chr17:76706303-76706395+	NoOverlap	chr17	76706303	76706395	+	4.44839354839	31	0.1049	-0.874309677419	5.32270322581	NA	0.396943094747	0.73974652343
126	chr17:40100651-40100779-	NoOverlap	chr17	40100651	40100779	-	1.58430465116	43	0.992	0.0583976744186	1.52590697674	NA	0.395323691088	0.590043589148
127	chr17:66964640-66964777-	NoOverlap	chr17	66964640	66964777	-	2.48165652174	46	0.2099	2.08064130435	0.401015217391	NA	0.394885531488	0.530405937122
128	chr17:69249826-69249891-	NoOverlap	chr17	69249826	69249891	-	9.89877272727	22	0.8784	-1.68067727273	11.57945	NA	0.39422483864	0.978465072592
129	chr17:66964652-66964819+	NoOverlap	chr17	66964652	66964819	+	2.9233375	56	0.2287	2.17153928571	0.751798214286	NA	0.393965166171	0.596126849121
130	chr17:35522380-35522424-	Extension	chr17	35522380	35522424	-	19.05286	15	0.8779	-4.03512666667	23.0879866667	chr17:35522374-35522424-	0.393217831138	1.08022945147
131	chr17:46267322-46267411+	Extension	chr17	46267322	46267411	+	14.85581	30	0.6706	7.47930666667	7.37650333333	chr17:46267322-46267426+	0.392442882132	0.814047720022
132	chr17:75784824-75785003-	NoOverlap	chr17	75784824	75785003	-	-0.939008333333	60	0.9793	-1.751715	0.812706666667	NA	0.390427821077	0.646309929994
133	chr17:45620658-45620789-	NoOverlap	chr17	45620658	45620789	-	2.36240909091	44	0.2113	0.402193181818	1.96021590909	NA	0.388074853736	0.617254846511
134	chr17:46283311-46283394-	NoOverlap	chr17	46283311	46283394	-	12.4455285714	28	0.7203	3.87869285714	8.56683571429	NA	0.387889851798	0.873097710784
135	chr17:7614533-7614814-	Extension	chr17	7614533	7614814	-	4.35655212766	94	0.704	3.1572893617	1.19926276596	chr17:7614440-7614814-	0.38751765493	0.73130191835
136	chr17:9331987-9332013+	NoOverlap	chr17	9331987	9332013	+	14.7129555556	9	1.0	-7.72723333333	22.4401888889	NA	0.38720728715	1.05821184569
137	chr17:7885033-7885143+	NoOverlap	chr17	7885033	7885143	+	0.873581081081	37	0.183	0.000391891891892	0.873189189189	NA	0.386213411645	0.522388876068
138	chr17:64505440-64505610-	NoOverlap	chr17	64505440	64505610	-	0.847575438596	57	0.9288	0.476249122807	0.371326315789	NA	0.385989190293	0.596170396437
139	chr17:56792759-56792887-	NoOverlap	chr17	56792759	56792887	-	4.15779534884	43	0.1383	-17.3574860465	21.5152813953	NA	0.384312683803	1.10152186646
140	chr17:66964660-66964818-	NoOverlap	chr17	66964660	66964818	-	2.47206981132	53	0.2309	2.91093207547	-0.438862264151	NA	0.383871668497	0.51359430338
141	chr17:32047910-32048029+	NoOverlap	chr17	32047910	32048029	+	6.0788125	40	0.7531	-3.40634	9.4851525	NA	0.383495383206	1.00628987085
142	chr17:38544935-38544961-	NoOverlap	chr17	38544935	38544961	-	17.6985555556	9	0.9888	-2.05595555556	19.7545111111	NA	0.382552994573	1.04530099402
143	chr17:31937187-31937408-	NoOverlap	chr17	31937187	31937408	-	1.12744324324	74	0.8212	-0.0183027027027	1.14574594595	NA	0.382448783125	0.701889453112
144	chr17:7884714-7884908-	NoOverlap	chr17	7884714	7884908	-	0.168270769231	65	0.234	-1.49814	1.66641076923	NA	0.382246193351	0.705530124158
145	chr17:7885034-7885141+	NoOverlap	chr17	7885034	7885141	+	1.27815833333	36	0.1853	0.231377777778	1.04678055556	NA	0.38160935072	0.524218739678
146	chr17:30709000-30709227-	NoOverlap	chr17	30709000	30709227	-	1.38336184211	76	0.2341	1.41945657895	-0.0360947368421	NA	0.380959747299	0.644430800735
147	chr17:16920774-16920860-	NoOverlap	chr17	16920774	16920860	-	3.00464482759	29	0.1429	3.97685517241	-0.972210344828	NA	0.380500267687	0.351956020549
148	chr17:48854944-48854994+	NoOverlap	chr17	48854944	48854994	+	12.2056235294	17	0.9432	5.73536470588	6.47025882353	NA	0.380470748258	0.663493044949
149	chr17:38544965-38544991-	NoOverlap	chr17	38544965	38544991	-	20.5393666667	9	0.9877	-0.458188888889	20.9975555556	NA	0.380357778355	1.05724171252
150	chr17:20504286-20504342-	NoOverlap	chr17	20504286	20504342	-	11.5618526316	19	0.8917	1.49515263158	10.0667	NA	0.380003360854	0.880830725013
151	chr17:41477809-41477862-	NoOverlap	chr17	41477809	41477862	-	15.1038166667	18	0.8472	7.63850555556	7.46531111111	NA	0.379736582875	0.712452918355
152	chr17:43297733-43297813-	NoOverlap	chr17	43297733	43297813	-	2.72088518519	27	0.1053	0.39317037037	2.32771481481	NA	0.37958803441	0.538202023735
153	chr17:43301362-43301442-	NoOverlap	chr17	43301362	43301442	-	2.37777037037	27	0.1058	0.449318518519	1.92845185185	NA	0.379481963731	0.516161359468
154	chr17:64919022-64919339-	NoOverlap	chr17	64919022	64919339	-	0.61953490566	106	0.1713	0.718523584906	-0.0989886792453	NA	0.37818489238	0.719094693333
155	chr17:7885035-7885142-	NoOverlap	chr17	7885035	7885142	-	0.1486	36	0.1853	0.852505555556	-0.703905555556	NA	0.377765618285	0.432692228504
156	chr17:16920775-16920858+	NoOverlap	chr17	16920775	16920858	+	4.15437857143	28	0.1429	2.98383214286	1.17054642857	NA	0.376878059259	0.464774232083
157	chr17:59619880-59619978+	NoOverlap	chr17	59619880	59619978	+	3.43846363636	33	0.9819	-0.146193939394	3.58465757576	NA	0.376877264628	0.649907757295
158	chr17:48604996-48605166-	NoOverlap	chr17	48604996	48605166	-	-1.05010701754	57	0.9887	-1.76868421053	0.718577192982	NA	0.376668857319	0.628837097758
159	chr17:34156753-34156902+	NoOverlap	chr17	34156753	34156902	+	-0.296568	50	0.988	-2.349484	2.052916	NA	0.376322265232	0.665735551573
160	chr17:68205896-68205985-	NoOverlap	chr17	68205896	68205985	-	2.14062333333	30	0.1582	1.58642333333	0.5542	NA	0.376290363628	0.454153644399
161	chr17:64919020-64919340+	NoOverlap	chr17	64919020	64919340	+	0.773512149533	107	0.1711	0.504665420561	0.268846728972	NA	0.376081079084	0.732764423196
162	chr17:37146865-37147002+	NoOverlap	chr17	37146865	37147002	+	0.683695652174	46	0.9948	-0.0844217391304	0.768117391304	NA	0.375828143966	0.566706727878
163	chr17:7019988-7020101+	NoOverlap	chr17	7019988	7020101	+	2.03956315789	38	0.9899	-0.549081578947	2.58864473684	NA	0.374792695901	0.624310929166
164	chr17:68205759-68205836+	NoOverlap	chr17	68205759	68205836	+	2.01296923077	26	0.111	2.06563846154	-0.0526692307692	NA	0.3742531881	0.397204001033
165	chr17:43234637-43234714-	NoOverlap	chr17	43234637	43234714	-	2.92181923077	26	0.1147	2.34356153846	0.578257692308	NA	0.374218291365	0.426139526631
166	chr17:170628-170672-	NoOverlap	chr17	170628	170672	-	10.15544	15	0.9653	-3.80216666667	13.9576066667	NA	0.372071066986	1.00467679922
167	chr17:31008570-31008728-	NoOverlap	chr17	31008570	31008728	-	1.45835283019	53	0.2384	0.835377358491	0.622975471698	NA	0.370806323208	0.58720542166
168	chr17:16920698-16920778+	NoOverlap	chr17	16920698	16920778	+	2.5056962963	27	0.1429	1.09746666667	1.40822962963	NA	0.369595213551	0.484369252713
169	chr17:29080751-29080786-	NoOverlap	chr17	29080751	29080786	-	24.3780666667	12	0.9172	15.070075	9.30799166667	NA	0.368540440968	0.670127698205
170	chr17:70174937-70175038-	Extension	chr17	70174937	70175038	-	2.17106176471	34	0.9964	-2.40105	4.57211176471	chr17:70174937-70175194-	0.368389353834	0.718180156998
